dataset:   breast-cancer.npz
datashape: trainset: (547, 10) , testset: (136, 10)
request:    0 {u'default': False, u'output': 0.0, u'query_id': 25018}
latency:  0.00684595108032
request:    1 {u'default': False, u'output': 0.0, u'query_id': 25020}
latency:  0.00320196151733
request:    2 {u'default': False, u'output': 1.0, u'query_id': 25022}
latency:  0.00282216072083
request:    3 {u'default': False, u'output': 0.0, u'query_id': 25025}
latency:  0.00339698791504
request:    4 {u'default': False, u'output': 1.0, u'query_id': 25027}
latency:  0.00277781486511
request:    5 {u'default': False, u'output': 1.0, u'query_id': 25028}
latency:  0.00299620628357
request:    6 {u'default': False, u'output': 1.0, u'query_id': 25030}
latency:  0.00268697738647
request:    7 {u'default': False, u'output': 1.0, u'query_id': 25032}
latency:  0.0026330947876
request:    8 {u'default': False, u'output': 0.0, u'query_id': 25035}
latency:  0.0036449432373
request:    9 {u'default': False, u'output': 1.0, u'query_id': 25037}
latency:  0.0046079158783
request:   10 {u'default': False, u'output': 1.0, u'query_id': 25039}
latency:  0.00353813171387
request:   11 {u'default': False, u'output': 1.0, u'query_id': 25042}
latency:  0.0034818649292
request:   12 {u'default': False, u'output': 1.0, u'query_id': 25044}
latency:  0.00226497650146
request:   13 {u'default': False, u'output': 1.0, u'query_id': 25046}
latency:  0.00322794914246
request:   14 {u'default': False, u'output': 1.0, u'query_id': 25047}
latency:  0.0021870136261
request:   15 {u'default': False, u'output': 1.0, u'query_id': 25050}
latency:  0.00243520736694
request:   16 {u'default': False, u'output': 0.0, u'query_id': 25052}
latency:  0.00302481651306
request:   17 {u'default': False, u'output': 1.0, u'query_id': 25054}
latency:  0.00316405296326
request:   18 {u'default': False, u'output': 1.0, u'query_id': 25056}
latency:  0.00286197662354
request:   19 {u'default': False, u'output': 0.0, u'query_id': 25058}
latency:  0.00271701812744
request:   20 {u'default': False, u'output': 1.0, u'query_id': 25060}
latency:  0.00368285179138
request:   21 {u'default': False, u'output': 1.0, u'query_id': 25061}
latency:  0.00276589393616
request:   22 {u'default': False, u'output': 1.0, u'query_id': 25064}
latency:  0.00249886512756
request:   23 {u'default': False, u'output': 1.0, u'query_id': 25066}
latency:  0.0028829574585
request:   24 {u'default': False, u'output': 0.0, u'query_id': 25068}
latency:  0.00346922874451
request:   25 {u'default': False, u'output': 1.0, u'query_id': 25070}
latency:  0.00187993049622
request:   26 {u'default': False, u'output': 1.0, u'query_id': 25072}
latency:  0.00224113464355
request:   27 {u'default': False, u'output': 1.0, u'query_id': 25074}
latency:  0.0026068687439
request:   28 {u'default': False, u'output': 1.0, u'query_id': 25076}
latency:  0.00197601318359
request:   29 {u'default': False, u'output': 0.0, u'query_id': 25078}
latency:  0.00236892700195
request:   30 {u'default': False, u'output': 0.0, u'query_id': 25080}
latency:  0.00220704078674
request:   31 {u'default': False, u'output': 0.0, u'query_id': 25082}
latency:  0.00236892700195
request:   32 {u'default': False, u'output': 0.0, u'query_id': 25084}
latency:  0.00241279602051
request:   33 {u'default': False, u'output': 1.0, u'query_id': 25086}
latency:  0.0049569606781
request:   34 {u'default': False, u'output': 1.0, u'query_id': 25089}
latency:  0.0024778842926
request:   35 {u'default': False, u'output': 1.0, u'query_id': 25091}
latency:  0.00362992286682
request:   36 {u'default': False, u'output': 1.0, u'query_id': 25093}
latency:  0.00350689888
request:   37 {u'default': False, u'output': 1.0, u'query_id': 25096}
latency:  0.00338792800903
request:   38 {u'default': False, u'output': 1.0, u'query_id': 25098}
latency:  0.00378012657166
request:   39 {u'default': False, u'output': 1.0, u'query_id': 25100}
latency:  0.00272798538208
request:   40 {u'default': False, u'output': 0.0, u'query_id': 25102}
latency:  0.00185585021973
request:   41 {u'default': False, u'output': 0.0, u'query_id': 25104}
latency:  0.00274777412415
request:   42 {u'default': False, u'output': 1.0, u'query_id': 25106}
latency:  0.00346684455872
request:   43 {u'default': False, u'output': 1.0, u'query_id': 25108}
latency:  0.00286293029785
request:   44 {u'default': False, u'output': 0.0, u'query_id': 25110}
latency:  0.00183606147766
request:   45 {u'default': False, u'output': 1.0, u'query_id': 25112}
latency:  0.00211596488953
request:   46 {u'default': False, u'output': 1.0, u'query_id': 25114}
latency:  0.0020911693573
request:   47 {u'default': False, u'output': 1.0, u'query_id': 25115}
latency:  0.00267505645752
request:   48 {u'default': False, u'output': 1.0, u'query_id': 25118}
latency:  0.00278115272522
request:   49 {u'default': False, u'output': 0.0, u'query_id': 25120}
latency:  0.00340485572815
request:   50 {u'default': False, u'output': 0.0, u'query_id': 25122}
latency:  0.00279808044434
request:   51 {u'default': False, u'output': 1.0, u'query_id': 25124}
latency:  0.00213694572449
request:   52 {u'default': False, u'output': 1.0, u'query_id': 25126}
latency:  0.00276803970337
request:   53 {u'default': False, u'output': 1.0, u'query_id': 25128}
latency:  0.00272607803345
request:   54 {u'default': False, u'output': 1.0, u'query_id': 25130}
latency:  0.00292015075684
request:   55 {u'default': False, u'output': 1.0, u'query_id': 25132}
latency:  0.0029079914093
request:   56 {u'default': False, u'output': 1.0, u'query_id': 25134}
latency:  0.00239300727844
request:   57 {u'default': False, u'output': 0.0, u'query_id': 25136}
latency:  0.00229716300964
request:   58 {u'default': False, u'output': 0.0, u'query_id': 25138}
latency:  0.00338792800903
request:   59 {u'default': False, u'output': 0.0, u'query_id': 25140}
latency:  0.00196099281311
request:   60 {u'default': False, u'output': 0.0, u'query_id': 25142}
latency:  0.00199580192566
request:   61 {u'default': False, u'output': 0.0, u'query_id': 25144}
latency:  0.00284600257874
request:   62 {u'default': False, u'output': 1.0, u'query_id': 25146}
latency:  0.00188612937927
request:   63 {u'default': False, u'output': 1.0, u'query_id': 25148}
latency:  0.00250387191772
request:   64 {u'default': False, u'output': 0.0, u'query_id': 25150}
latency:  0.00326323509216
request:   65 {u'default': False, u'output': 1.0, u'query_id': 25153}
latency:  0.00308609008789
request:   66 {u'default': False, u'output': 1.0, u'query_id': 25155}
latency:  0.0021550655365
request:   67 {u'default': False, u'output': 1.0, u'query_id': 25157}
latency:  0.00196290016174
request:   68 {u'default': False, u'output': 1.0, u'query_id': 25159}
latency:  0.00241708755493
request:   69 {u'default': False, u'output': 1.0, u'query_id': 25160}
latency:  0.00264692306519
request:   70 {u'default': False, u'output': 0.0, u'query_id': 25162}
latency:  0.00284099578857
request:   71 {u'default': False, u'output': 0.0, u'query_id': 25164}
latency:  0.00215291976929
request:   72 {u'default': False, u'output': 0.0, u'query_id': 25166}
latency:  0.00184607505798
request:   73 {u'default': False, u'output': 1.0, u'query_id': 25168}
latency:  0.00199007987976
request:   74 {u'default': False, u'output': 0.0, u'query_id': 25170}
latency:  0.00197196006775
request:   75 {u'default': False, u'output': 1.0, u'query_id': 25172}
latency:  0.00217390060425
request:   76 {u'default': False, u'output': 1.0, u'query_id': 25174}
latency:  0.00233697891235
request:   77 {u'default': False, u'output': 1.0, u'query_id': 25176}
latency:  0.00188398361206
request:   78 {u'default': False, u'output': 1.0, u'query_id': 25178}
latency:  0.00188112258911
request:   79 {u'default': False, u'output': 0.0, u'query_id': 25180}
latency:  0.00333309173584
request:   80 {u'default': False, u'output': 1.0, u'query_id': 25182}
latency:  0.00215697288513
request:   81 {u'default': False, u'output': 1.0, u'query_id': 25184}
latency:  0.00204396247864
request:   82 {u'default': False, u'output': 1.0, u'query_id': 25186}
latency:  0.00260996818542
request:   83 {u'default': False, u'output': 1.0, u'query_id': 25188}
latency:  0.00285911560059
request:   84 {u'default': False, u'output': 1.0, u'query_id': 25190}
latency:  0.00303602218628
request:   85 {u'default': False, u'output': 1.0, u'query_id': 25192}
latency:  0.00234413146973
request:   86 {u'default': False, u'output': 1.0, u'query_id': 25194}
latency:  0.00267505645752
request:   87 {u'default': False, u'output': 0.0, u'query_id': 25195}
latency:  0.00204586982727
request:   88 {u'default': False, u'output': 1.0, u'query_id': 25198}
latency:  0.00334191322327
request:   89 {u'default': False, u'output': 0.0, u'query_id': 25200}
latency:  0.00350904464722
request:   90 {u'default': False, u'output': 0.0, u'query_id': 25203}
latency:  0.00334596633911
request:   91 {u'default': False, u'output': 0.0, u'query_id': 25205}
latency:  0.00235319137573
request:   92 {u'default': False, u'output': 1.0, u'query_id': 25207}
latency:  0.00397205352783
request:   93 {u'default': False, u'output': 1.0, u'query_id': 25209}
latency:  0.0024139881134
request:   94 {u'default': False, u'output': 1.0, u'query_id': 25211}
latency:  0.00385499000549
request:   95 {u'default': False, u'output': 1.0, u'query_id': 25213}
latency:  0.00240898132324
request:   96 {u'default': False, u'output': 0.0, u'query_id': 25216}
latency:  0.00266003608704
request:   97 {u'default': False, u'output': 0.0, u'query_id': 25218}
latency:  0.00274610519409
request:   98 {u'default': False, u'output': 1.0, u'query_id': 25220}
latency:  0.00194597244263
request:   99 {u'default': False, u'output': 0.0, u'query_id': 25221}
latency:  0.0018208026886
request:  100 {u'default': False, u'output': 1.0, u'query_id': 25223}
latency:  0.00241303443909
request:  101 {u'default': False, u'output': 1.0, u'query_id': 25225}
latency:  0.00242400169373
request:  102 {u'default': False, u'output': 1.0, u'query_id': 25227}
latency:  0.00272798538208
request:  103 {u'default': False, u'output': 0.0, u'query_id': 25229}
latency:  0.00376605987549
request:  104 {u'default': False, u'output': 1.0, u'query_id': 25231}
latency:  0.00207901000977
request:  105 {u'default': False, u'output': 1.0, u'query_id': 25234}
latency:  0.00265908241272
request:  106 {u'default': False, u'output': 0.0, u'query_id': 25236}
latency:  0.00201201438904
request:  107 {u'default': False, u'output': 1.0, u'query_id': 25238}
latency:  0.00241184234619
request:  108 {u'default': False, u'output': 1.0, u'query_id': 25239}
latency:  0.00202894210815
request:  109 {u'default': False, u'output': 1.0, u'query_id': 25242}
latency:  0.00240206718445
request:  110 {u'default': False, u'output': 1.0, u'query_id': 25244}
latency:  0.00229382514954
request:  111 {u'default': False, u'output': 1.0, u'query_id': 25245}
latency:  0.00205016136169
request:  112 {u'default': False, u'output': 1.0, u'query_id': 25248}
