Model_Load_Percent,Model_MEM_Usage(MiB),System_MEM_Usage(MiB),System_SWAP_Usage(MiB),System_MEM_Usage(KiB),System_SWAP_Usage(KiB),System_MEM+SWAP(MiB)
100,1341.44,1712.914063,1744.25,1754024,1786112,3457.164063
89.5,1200.13,1575.925781,1966.328125,1613748,2013520,3542.253906
82,1099.78,1476.402344,2009.578125,1511836,2057808,3485.980469
74.5,999.8,1376.335938,2170.578125,1409368,2222672,3546.914063
67.1,899.9,1276.4375,2218.078125,1307072,2271312,3494.515625
59.6,799.8,1175.90625,2373.828125,1204128,2430800,3549.734375
52.2,699.9,1075.546875,2383.078125,1101360,2440272,3458.625
44.7,600,976.0820313,2565.328125,999508,2626896,3541.410156
37.3,500,877.1171875,2612.828125,898168,2675536,3489.945313
29.8,400,776.265625,2769.671875,794896,2836144,3545.9375
22.4,300,676.71875,2828.828125,692960,2896720,3505.546875
14.9,200,576.7929688,2957.828125,590636,3028816,3534.621094
7.4,99.83,476.4414063,3017.386719,487876,3089804,3493.828125
