Model_Load_Percent,Model_MEM_Usage(MiB),System_MEM_Usage(MiB),System_SWAP_Usage(MiB),System_MEM_Usage(KiB),System_SWAP_Usage(KiB),System_MEM+SWAP(MiB)
100,1344.512,1715.171875,1737.683594,1756336,1779388,3452.855469
81.8,1099.776,1474.402344,2060.828125,1509788,2110288,3535.230469
66.9,899.8,1274.621094,2217.828125,1305212,2271056,3492.449219
52.0,699.8,1074.910156,2468.578125,1100708,2527824,3543.488281
44.6,599.9,974.4921875,2479.828125,997880,2539344,3454.320313
37.2,499.7,875.2539063,2580.078125,896260,2642000,3455.332031
33.4,449.7,825.4179688,2635.328125,845228,2698576,3460.746094
29.7,399.8,776.4648438,3065.078125,795100,3138640,3841.542969
22.3,299.8,676.46875,3064.585938,692704,3138136,3741.054688
14.9,199.9,576.25,3066.078125,590080,3139664,3642.328125
7.4,99.81,476.9101563,3066.367188,488356,3139960,3543.277344
